Title,Author,Year,URL
"[CITATION][C]Exploring theimpactofchat-GPTon teacher professional development: opportunities, challenges, andimplications","GK Ming,M Mansor- … Journal of Research inEducationand Social Sciences, 2023",N/A,https://scholar.google.com/citations?user=PsjcchIAAAAJ&hl=en&oi=sra
Examining students' attitudes and intentions towards usingChatGPTin highereducation,"MZU Haq,G Cao,RMY Abukhait- … Journal ofEducational…, 2025",N/A,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/bjet.13582
AIChatGPTand student engagement: Unraveling dimensions through PRISMA analysis for enhancedlearningexperiences,"OA Khurma, F Albahti,N Ali, A Bustanji - ContemporaryEducational…, 2024",N/A,https://www.cedtech.net/article/ai-chatgpt-and-student-engagement-unraveling-dimensions-through-prisma-analysis-for-enhanced-14334
Testing creativity ofChatGPTinpsychology: Interview withChatGPT,"K Uludag- Chatbots andMentalHealthcare inPsychologyand …, 2025",N/A,https://www.igi-global.com/chapter/testing-creativity-of-chatgpt-in-psychology/371644
"Exploring user perspectives onchatgpt: Applications, perceptions, andimplicationsfor ai-integratededucation","RH Mogavi, C Deng,JJ Kim,P Zhou,YD Kwon… - arXiv preprint arXiv …, 2023",N/A,https://arxiv.org/abs/2305.13114
Generative AI andChatGPT impacton technostress of teachers,"X Huo,KL Siau- 2023",N/A,https://aisel.aisnet.org/pacis2023/126/
ChatGPTandmentalhealth: Friends or foes?,"KT Kalam, JM Rahman,MR Islam… - Health Science …, 2024",N/A,https://onlinelibrary.wiley.com/doi/abs/10.1002/hsr2.1912
[PDF][PDF]EffectofChat GPTon the digitizedlearningprocess of university students,"AGR Castillo, GJS Silva, JPF Arocutipa… - Journal of Namibian …, 2023",N/A,https://www.academia.edu/download/105415608/278.pdf
ChatGPTis a breakthrough in science andeducationbut fails a test in sports and exercisepsychology,"A Szabo - Baltic Journal of Sport and Health Sciences, 2023",N/A,https://journals.lsu.lt/baltic-journal-of-sport-health/article/view/1341
The application and challenges ofChatGPTineducationaltransformation: New demands for teachers' roles,"H Yu - Heliyon, 2024",N/A,https://www.cell.com/heliyon/fulltext/S2405-8440(24)00320-7
Ethicalimplicationsof usingChatGPTineducationalenvironments: A comprehensive review,"A Almarzouqi,A Aburayya,R Alfaisal… - … intelligence ineducation…, 2024",N/A,https://link.springer.com/chapter/10.1007/978-3-031-52280-2_13
"[HTML][HTML]Examining theeffectofChatGPTusage on students'academic learningand achievement: A survey-based study in Ajman, UAE","E Youssef, M Medhat,S Abdellatif… - Computers andEducation…, 2024",N/A,https://www.sciencedirect.com/science/article/pii/S2666920X2400119X
A conversation withChatGPTabout theimpactof the COVID-19 pandemic oneducation: Comparative review based on human–AI collaboration,"T Karakose,M Demirkol,N Aslan, H Köse… -EducationalProcess …, 2023",N/A,https://www.ceeol.com/search/article-detail?id=1134493
How CanChatGPTFacilitateTeachingandLearning:Implicationsfor ContemporaryEducation.,"T Karakose,T Tülübas-EducationalProcess: International Journal, 2023",N/A,https://www.ceeol.com/search/article-detail?id=1256313
"[PDF][PDF]Understanding theimpactofChatGPTineducation: Exploratory study on students' attitudes, perception and ethics","CL Thong,R Butson,WL Lim- ASCILITE Publications, 2023",N/A,https://www.academia.edu/download/123416219/562.pdf
Validating theChatGPTUsage Scale: psychometric properties and factor structures among postgraduate students,"M Nemt-Allah,W Khalifa,M Badawy, Y Elbably… - BMCpsychology, 2024",N/A,https://link.springer.com/article/10.1186/s40359-024-01983-4
EffectsofChatGPTuse on undergraduate students' creativity: a threat to creative thinking?,"RB Toma, I Yánez-Pérez - Discover Artificial Intelligence, 2024",N/A,https://link.springer.com/article/10.1007/s44163-024-00172-x
"The role ofChatGPTin highereducation: Benefits, challenges, and future research directions","T Rasul,S Nair,D Kalendra… - … andTeaching, 2023",N/A,https://jalt.journals.publicknowledgeproject.org/index.php/jalt/article/view/787
A social media data analysis of general andeducationaluse ofChatGPT: Understandingemotionaleducators,"G Lampropoulos,RE Ferdig… - Available at SSRN …, 2023",N/A,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4468181
[HTML][HTML]Effectsof Large Language Model–Based Offerings on the Well-Being of Students: Qualitative Study,"R Selim, A Basu, A Anto,T Foscht… - JMIR Formative …, 2024",N/A,https://formative.jmir.org/2024/1/e64081
"ChatGPTin class: motivation, schadenfreude and student usage intentions","TM Hickman,M Stoica- Young Consumers, 2025",N/A,https://www.emerald.com/insight/content/doi/10.1108/yc-09-2024-2252/full/html
The ethicalimplicationsofchatgptai chatbot: A review,"TM Tawfeeq, AJ Awqati,YA Jasim- JMCER, 2023",N/A,https://jmcer.org/research/the-ethical-implications-of-chatgpt-ai-chatbot-a-review/
"Exploring theimpactofChatGPTonteachingperformance: findings from SOR theory, SEM and IPMA analysis approach","NA Dahri,N Yahaya,MS Vighio,NF Jumaat-Educationand Information …, 2025",N/A,https://link.springer.com/article/10.1007/s10639-025-13539-z
IsChatGPThelpful for graduate students in acquiring knowledge about digital storytelling and reducing their cognitive load? An experiment,"R Avello,T Gajderowicz… - Revista de Educación a …, 2024",N/A,https://revistas.um.es/red/article/view/604621
[HTML][HTML]Unveiling the e-servicescape ofChatGPT: exploring userpsychologyand engagement in AI-powered chatbot experiences,"M Kim- Behavioral Sciences, 2024",N/A,https://www.mdpi.com/2076-328X/14/7/558
